State,Year,County,Total,Commissioned Male ,Commissioned Female ,Civilian Male ,Civilian Female ,Arson,Arsons Arrests,Juvenile Arsons Arrests,Aggravated Assault,Aggravated Assaults Arrests,Juvenile Aggravated Assault Arrests,Rape,Rape Arrests,Juvenile Rape Arrests,Burglary,Burglary Arrests,Juvenile Burglary Arrests,Murder,Murder Arrests,Juvenile Murder Arrests,Robbery,Robbery Arrests,Juvenile Robbery Arrests,Drug Violation Arrests,Juvenile Drug Violation Arrests,Total Arrests,Total Juvenile Arrests,Juvenile Theft Arrests,Theft Arrests,Theft,Population,Commissioned Total,Civilian Total,Total Employees,Total Population,Female Population (0-11),Female Population (12-17),Female Population (18-39),Female Population (40+),Total Female Population,Male Population (0-11),Male Population (12-17),Male Population (18-39),Male Population (40+),Total Male Population,Animal Cruelty,Bribery,Destruction of Property,Drug Violation,Extortion,Counterfeiting or Forgery,Gambling Violation,Human Trafficking,Kidnapping,Man Slaughter,Non Forcibly Sex,Pornography,Total Property Crime,Prostitution,Total Person Crime,Total Societal Crime,No Contact Order Violation,Weapon Violation,Other Crimes Arrests,Animal Cruelty Arrests,Bribery Arrests,Destruction of Property Arrests,Extortion Arrests,Counterfeiting or Forgery Arrests,Gambling Violation Arrests,"Group B offense Arrests (driving under influence,  liquor violation etc)",Hack or Computer Invasion Arrests,Human Trafficking Arrests,Kidnapping Arrests,Manslaughter Arrests,Non Forcibly Sex Arrests,Pornography Arrests,Prostitution Arrests,No Contact Order Violation Arrests,Weapon Violation Arrests,Aggravated Assaults Sentenced,Burglary Sentenced,Drug Violation Sentenced,Manslaughter Sentenced,Murder Sentenced,Other Crimes Sentenced,Other Property Crimes Sentenced,Robbery Sentenced,Sex Crime Sentences,Total Sentenced,Unknown Crimes Sentenced,Juvenile Other Felony Crimes Sentenced,Juvenile Animal Cruelty Arrests,Juvenile Bribery Arrests,Juvenile Destruction of Property Arrests,Juvenile Extortion Arrests,Juvenile Counterfeiting or Forgery Arrests,"Juvenile Group B offense Arrests (driving under influence,  liquor violation etc)",Juvenile Hack or Computer Invasion Arrests,Juvenile Kidnapping Arrests,Juvenile Manslaughter Arrests,Juvenile Non Forcibly Sex Arrests,Juvenile Pornography Arrests,Juvenile Prostitution Arrests,Juvenile No Contact Order Violation Arrests,Juvenile Weapon Violation Arrests,FIPS Code
Washington,2008,ASOTIN,604,27,1,0,3,0,1,0,32,10,1,2,0,0,82,14,8,1,0,0,4,2,0,65,5,1690,170,34,50,483,21400,28,3,31,21400,1543,888,2774,5989,11196,1718,859,2580,5045,10204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,20,0,0,3,14,1,9,59,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53003
Washington,2010,KING,86107,2716,398,347,777,409,12,8,3418,952,75,585,53,4,16047,709,161,41,15,0,2562,450,146,2741,339,36853,2614,707,5925,63045,1955910,3114,1124,4238,1933400,130901,63510,314244,461405,970060,137390,66317,330725,428909,963340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,81,256,13,25,84,390,184,150,1594,0,1174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53033
Washington,2002,PEND OREILLE,407,19,1,12,9,2,0,0,14,4,0,3,1,0,119,7,0,0,0,0,4,2,0,64,0,475,0,0,19,265,11415,20,21,41,11800,874,621,1238,3141,5873,937,600,1147,3244,5927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,1,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53051
Washington,2004,LINCOLN,257,20,1,6,6,2,0,0,6,3,0,3,2,0,79,5,0,0,0,0,0,0,0,23,0,234,0,0,7,167,10200,21,12,33,10200,695,473,993,2979,5139,790,489,962,2820,5061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,1,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53043
Washington,2002,JEFFERSON,757,31,5,0,8,9,2,0,33,40,0,7,5,0,195,16,0,2,2,0,1,3,0,75,0,757,0,0,57,510,26600,36,8,44,26600,1527,984,2364,8526,13400,1520,1047,2560,8073,13200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,2,0,1,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53031
Washington,1993,STEVENS,1042,46,3,4,10,3,1,0,25,17,0,11,3,0,241,36,0,3,0,0,3,2,0,46,0,1254,0,0,67,756,33400,49,14,63,33122,3252,1780,4495,7056,16588,3444,1915,4259,6913,16534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,2,1,1,0,1,2,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53065
Washington,2014,SNOHOMISH,29833,791,76,66,175,91,17,1,1464,749,132,222,81,19,5245,423,61,11,8,1,384,139,35,1424,191,14142,1700,449,3354,21042,718011,867,241,1108,741000,55729,27917,104646,181403,369695,58193,29298,111660,172154,371305,0,0,579,520,1,87,0,0,6,0,6,5,4630,0,1014,570,125,45,7198,0,0,58,0,27,0,543,0,0,2,0,4,1,0,94,20,106,57,130,5,6,78,238,57,65,742,0,751,0,0,12,0,0,43,0,0,0,0,0,0,1,4,53061
Washington,1992,OKANOGAN,1720,76,3,8,23,5,0,0,185,80,0,56,24,0,299,34,0,1,1,0,10,6,0,132,0,1955,0,0,154,1164,34152,79,31,110,35274,3395,1532,4934,7646,17510,3527,1801,5117,7314,17764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,1,0,0,0,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53047
Washington,2004,GARFIELD,74,7,0,0,5,0,0,0,6,0,0,3,0,0,8,1,0,0,0,0,0,0,0,14,0,188,0,0,1,57,2400,7,5,12,2400,161,121,230,697,1210,171,141,220,658,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53023
Washington,2003,SNOHOMISH,24106,735,78,69,183,187,13,0,846,326,0,288,51,0,4114,247,0,12,13,0,372,96,0,1300,0,13759,0,0,1861,18287,621790,813,252,1065,637500,54278,28588,97379,138172,318416,57280,29872,102620,129312,319084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,67,188,13,16,42,202,44,68,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53061
